model,accuracy,precision,recall,f1,auc_roc,train_time_sec
AdaBoost,0.8739495798319328,0.03571428571428571,0.25,0.0625,0.577991452991453,0.09
VotingEnsemble,0.7478991596638656,0.03333333333333333,0.5,0.0625,0.5918803418803419,0.18
CNN1D,0.726890756302521,0.03076923076923077,0.5,0.057971014492753624,0.4668803418803419,4.04
SVC_rbf,0.7226890756302521,0.030303030303030304,0.5,0.05714285714285714,0.6057692307692308,0.08
LogisticRegression,0.6764705882352942,0.025974025974025976,0.5,0.04938271604938271,0.44230769230769235,0.02
DNN,0.7016806722689075,0.014492753623188406,0.25,0.0273972602739726,0.22756410256410256,8.85
GaussianNB,0.23949579831932774,0.00558659217877095,0.25,0.01092896174863388,0.29594017094017094,0.0
KNN,0.7478991596638656,0.0,0.0,0.0,0.3766025641025641,0.0
DecisionTree,0.9159663865546218,0.0,0.0,0.0,0.4658119658119658,0.0
RandomForest,0.9411764705882353,0.0,0.0,0.0,0.6100427350427351,0.09
GradientBoosting,0.9327731092436975,0.0,0.0,0.0,0.686965811965812,0.14
XGBoost,0.9369747899159664,0.0,0.0,0.0,0.6880341880341879,0.03
LightGBM,0.957983193277311,0.0,0.0,0.0,0.6688034188034189,0.04
MLP,0.7941176470588235,0.0,0.0,0.0,0.38888888888888895,0.06
TabNet,0.9789915966386554,0.0,0.0,0.0,0.42307692307692313,1.01
